data,hora,data_hora,ano,mes,dia_semana,hora_dia,periodo_dia,uf,municipio,regiao_grande_vitoria,rodovia,rodovia_label,km,latitude,longitude,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,mortos,feridos_graves,feridos_leves,feridos,ilesos,ignorados,veiculos,pessoas,regional,delegacia,uop,risco_alto,nivel_risco
2025-07-07,05:27,2025-07-07 05:27:00,2025.0,7.0,segunda,5.0,madrugada,ES,SERRA,True,101.0,BR-101,264.0,-20.178502,-40.265286,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Interseção de Vias,Sim,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-07,14:17,2025-07-07 14:17:00,2025.0,7.0,segunda,14.0,tarde,ES,GUARAPARI,True,101.0,BR-101,335.0,-20.6281024,-40.5331143,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Declive,Não,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,0,moderado
2025-07-07,14:45,2025-07-07 14:45:00,2025.0,7.0,segunda,14.0,tarde,ES,CARIACICA,True,101.0,BR-101,293.2,-20.316122,-40.3954811,Pista Escorregadia,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-06-14,18:00,2025-06-14 18:00:00,2025.0,6.0,sabado,18.0,noite,ES,SERRA,True,101.0,BR-101,270.4,-20.22967735,-40.2719907,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,1.0,1.0,2.0,2.0,4.0,5.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-09,07:04,2025-07-09 07:04:00,2025.0,7.0,quarta,7.0,manha,ES,GUARAPARI,True,101.0,BR-101,320.8,-20.518841,-40.4783309,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,1,grave
2025-07-09,08:45,2025-07-09 08:45:00,2025.0,7.0,quarta,8.0,manha,ES,SERRA,True,101.0,BR-101,262.1,-20.1594149,-40.2761924,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Fatais,Pleno dia,Crescente,Chuva,Múltipla,Interseção de Vias;Retorno Regulamentado;Reta,Sim,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,fatal
2025-07-09,12:40,2025-07-09 12:40:00,2025.0,7.0,quarta,12.0,tarde,ES,SERRA,True,101.0,BR-101,266.4,-20.19357,-40.26849,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-09,19:35,2025-07-09 19:35:00,2025.0,7.0,quarta,19.0,noite,ES,VIANA,True,101.0,BR-101,306.0,-20.39556767,-40.45908158,Ausência de reação do condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Não,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-07-10,08:40,2025-07-10 08:40:00,2025.0,7.0,quinta,8.0,manha,ES,SERRA,True,101.0,BR-101,270.0,-20.22608585,-40.27072194,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-06-16,01:20,2025-06-16 01:20:00,2025.0,6.0,segunda,1.0,madrugada,ES,CARIACICA,True,101.0,BR-101,291.1,-20.29190589,-40.39200783,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Não,0.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-06-24,18:20,2025-06-24 18:20:00,2025.0,6.0,terca,18.0,noite,ES,SERRA,True,101.0,BR-101,266.2,-20.192634,-40.26846,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Reta,Não,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-10,18:10,2025-07-10 18:10:00,2025.0,7.0,quinta,18.0,noite,ES,VITORIA,True,262.0,BR-262,0.3,-20.3219121,-40.3538621,Pista esburacada,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta;Ponte,Sim,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-07-11,06:50,2025-07-11 06:50:00,2025.0,7.0,sexta,6.0,manha,ES,CARIACICA,True,101.0,BR-101,290.1,-20.2908053,-40.3917302,Acostamento em desnível,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Curva,Não,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-07-11,12:00,2025-07-11 12:00:00,2025.0,7.0,sexta,12.0,tarde,ES,SERRA,True,101.0,BR-101,269.5,-20.22174203,-40.27035266,Acessar a via sem observar a presença dos outros veículos,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Interseção de Vias,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-11,20:00,2025-07-11 20:00:00,2025.0,7.0,sexta,20.0,noite,ES,SERRA,True,101.0,BR-101,271.3,-20.2196142,-40.29093862,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Múltipla,Interseção de Vias,Sim,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-06-02,07:00,2025-06-02 07:00:00,2025.0,6.0,segunda,7.0,manha,ES,SERRA,True,101.0,BR-101,267.9,-20.19810692,-40.26855532,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,baixo
2025-07-13,20:00,2025-07-13 20:00:00,2025.0,7.0,domingo,20.0,noite,ES,FUNDAO,True,101.0,BR-101,230.2,-19.9382946,-40.40656686,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-06-04,05:56,2025-06-04 05:56:00,2025.0,6.0,quarta,5.0,madrugada,ES,SERRA,True,101.0,BR-101,274.0,-20.0488604,-40.3866836,Ausência de reação do condutor,Colisão frontal,Com Vítimas Fatais,Amanhecer,Crescente,Céu Claro,Simples,Reta,Não,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,fatal
2025-07-15,06:20,2025-07-15 06:20:00,2025.0,7.0,terca,6.0,manha,ES,SERRA,True,101.0,BR-101,263.9,-20.17328657,-40.26736383,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-15,08:20,2025-07-15 08:20:00,2025.0,7.0,terca,8.0,manha,ES,SERRA,True,101.0,BR-101,270.0,-20.21368087,-40.26965261,Conversão proibida,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta;Interseção de Vias,Sim,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-15,09:45,2025-07-15 09:45:00,2025.0,7.0,terca,9.0,manha,ES,SERRA,True,101.0,BR-101,264.0,-20.1767759,-40.2660588,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-15,17:45,2025-07-15 17:45:00,2025.0,7.0,terca,17.0,tarde,ES,VIANA,True,101.0,BR-101,298.1,-20.3547929,-40.4150631,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Interseção de Vias,Sim,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-07-16,06:25,2025-07-16 06:25:00,2025.0,7.0,quarta,6.0,manha,ES,CARIACICA,True,101.0,BR-101,290.7,-20.29417999,-40.39407594,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,fatal
2025-07-16,09:20,2025-07-16 09:20:00,2025.0,7.0,quarta,9.0,manha,ES,CARIACICA,True,101.0,BR-101,290.0,-20.2960054,-40.3868236,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva;Retorno Regulamentado;Aclive,Não,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-07-16,15:30,2025-07-16 15:30:00,2025.0,7.0,quarta,15.0,tarde,ES,SERRA,True,101.0,BR-101,265.7,-20.19027243,-40.2682689,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-17,09:00,2025-07-17 09:00:00,2025.0,7.0,quinta,9.0,manha,ES,SERRA,True,101.0,BR-101,270.0,-20.22096578,-40.27038574,Velocidade Incompatível,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-17,15:20,2025-07-17 15:20:00,2025.0,7.0,quinta,15.0,tarde,ES,SERRA,True,101.0,BR-101,241.4,-20.02778,-40.398021,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Retorno Regulamentado;Reta,Não,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
2025-07-17,22:50,2025-07-17 22:50:00,2025.0,7.0,quinta,22.0,noite,ES,CARIACICA,True,101.0,BR-101,296.0,-20.330719,-40.373472,Ausência de reação do condutor,Capotamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Sim,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,baixo
2025-07-18,21:00,2025-07-18 21:00:00,2025.0,7.0,sexta,21.0,noite,ES,SERRA,True,101.0,BR-101,270.0,-20.2265372,-40.2707054,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
