metrica,valor
total_registros,2639
total_colunas,39
acidentes_alto_risco,833
percentual_alto_risco,0.3156498673740053
municipios_unicos,38
rodovias_unicas,7
data_minima,2025-01-01 12:10:00
data_maxima,2025-12-31 18:30:00
